ts_code,name,industry
000001.SZ,平安银行,银行
000002.SZ,万科A,全国地产
000010.SZ,*ST美丽,建筑工程
000100.SZ,TCL科技,元器件
300750.SZ,宁德时代,电气设备
600519.SH,贵州茅台,白酒
002594.SZ,比亚迪,汽车整车
688981.SH,中芯国际,半导体
600900.SH,长江电力,水力发电
601005.SH,重庆钢铁,普钢
300308.SZ,中际旭创,通信设备
688256.SH,寒武纪,半导体
300502.SZ,新易盛,通信设备
603986.SH,兆易创新,半导体
300059.SZ,东方财富,证券
600036.SH,招商银行,银行
601318.SH,中国平安,保险
601012.SH,隆基绿能,电气设备
002230.SZ,科大讯飞,软件服务
603259.SH,药明康德,化学制药
600276.SH,恒瑞医药,化学制药
688041.SH,海光信息,半导体
688235.SH,百济神州,生物制药
601360.SH,三六零,互联网
601766.SH,中国中车,运输设备
000725.SZ,京东方A,元器件
000006.SZ,深振业A,区域地产
000007.SZ,全新好,其他商业
000008.SZ,神州高铁,运输设备
000009.SZ,中国宝安,电气设备
000016.SZ,*ST康佳A,家用电器
000056.SZ,*ST皇庭,其他商业
600581.SH,*ST八钢,普钢
002569.SZ,*ST步森,服饰
300290.SZ,ST荣科,软件服务
